count,question,answer
221,Who won the last Test International series between South Africa and South Africa?,"{
  ""gender"": ""default"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes"",
  ""match_result"": ""won""
}"
222,Give me details of the South Africa in Australia Test Series final between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""match_result"": [""winner"", ""winner""]
}"
223,What is the highest run partnership for the sixth wicket in Tests?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""batter_number"": [6, 6],
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""top_k"": 1
}"
224,Show me the result of the last South Africa in Australia Test Series match between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes"",
  ""date_start"": ""last"",
  ""match_result"": ""all""
}"
225,Tell me about the player with the most five-wicket hauls in Test matches at the Western Australia Cricket Association Ground.,"{
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""all"",
  ""teams_involved"": ""all"",
  ""venue"": ""Western Australia Cricket Association Ground"",
  ""format"": [""Test""],
  ""statistic"": ""five_wicket_hauls""
}"
226,Who was the Man of the Match in the last South Africa vs. South Africa Test match?,"{
  ""gender"": ""default"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa""],
  ""format"": [""Test""],
  ""match_result"": ""all"",
  ""key_statistic"": ""Man of the Match""
}"
227,What is the highest individual score in a South Africa in Australia Test Series final?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""best_or_worst"": ""highest""
}"
228,Give me information about the Men's Test International series between South Africa and South Africa in 2022.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""year"": 2022
}"
229,What is the margin of victory for South Africa in the last South Africa in Australia Test Series?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""margin_runs_start"": ""none"",
  ""margin_runs_end"": ""none"",
  ""margin_wickets_start"": ""none"",
  ""margin_wickets_end"": ""none"",
  ""recent_type"": ""yes"",
  ""history"": ""yes""
}"
230,Show me the most recent Test match between South Africa and South Africa and its result.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""none"",
  ""player_name"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""date_start"": ""all"",
  ""date_end"": ""all"",
  ""match_result"": ""none""
}"
231,Tell me about the highest partnership for the seventh wicket in Test matches at Western Australia Cricket Association Ground.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""team_involved"": ""multiple"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground"",
  ""batter_number"": [6,7]
}"
232,Who won the last edition of the South Africa in Australia Test Series?,"{
  ""gender"": ""default"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""default"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes"",
  ""date_start"": ""default"",
  ""date_end"": ""default"",
  ""match_result"": ""won""
}"
233,What is the highest team total in a Test match at the Western Australia Cricket Association Ground?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground""
}"
234,Give me details of the tied Test International between South Africa and South Africa in 2020.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""date_start"": ""2020""
}"
235,What is the highest run partnership for the eighth wicket in Test Internationals?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""partnership"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""batter_number"": [8, 8],
  ""team_name"": ""all"",
  ""second_team"": ""all""
}"
236,Show me the result of the South Africa in Australia Test Series final between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""match_result"": [""winner"", ""winner""]
}"
237,Tell me about the centuries scored by Aisha Mohamed in Test matches at the Western Australia Cricket Association Ground.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""team_involved"": ""all"",
  ""team_name"": ""N/A"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground"",
  ""innings"": ""all"",
  ""statistic"": ""centuries""
}"
238,What is the highest individual score by a South Africa player in a Women's Test International match?,"{
  ""gender"": ""female"",
  ""department"": [""bat""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_name"": ""South Africa""
}"
239,Who is the captain of the South Africa cricket team for the upcoming Test series against South Africa?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Captain of South Africa cricket team"",
  ""team_name"": ""South Africa"",
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""no""
}"
240,What is the highest run partnership for the ninth wicket in Tests at the Western Australia Cricket Association Ground?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""Australia"", ""Opponent""],
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground"",
  ""batter_number"": [8, 9],
  ""innings"": ""all""
}"
241,Give me information about the Test match series between South Africa and South Africa in 2020.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa""],
  ""opponent_team_name"": [""South Africa""],
  ""format"": [""Test""],
  ""date_start"": ""2020"",
  ""date_end"": ""2020""
}"
242,"Who won the last South Africa vs. South Africa Test International series, and what was the score?","{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa""],
  ""second_team"": [""South Africa""],
  ""format"": [""Test""],
  ""match_result"": ""won""
}

This JSON object represents the query asking for the team that won the last South Africa vs. South Africa Test International series and the score. The ""historic_event"" key is set to ""yes"" to indicate that we are looking for information about a specific historic event. The ""team_involved"" key is set to ""multiple"" to indicate that we are looking for information about two teams, and both teams are named ""South Africa"" in this case. The ""format"" key is set to ""Test"" to indicate that we are looking for information about a Test match. The ""match_result"" key is set to ""won"" to indicate that we are looking for the team that won the series. No information is provided about the score in the query, so it is not included in the JSON object."
243,What is the highest team score in a Test International match at Western Australia Cricket Association Ground?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground""
}"
244,Show me the result of the South Africa in Australia Test Series final between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""match_result"": [""winner"", ""winner""]
}"
245,Tell me about the most recent tied Test match in cricket history and the teams involved.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_involved"": ""multiple"",
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes""
}

This JSON object represents the query asking for information about the most recent tied Test match in cricket history and the teams involved. The 'historic_event' key is set to 'yes' to indicate that the query is asking for information about a historic event. The 'team_involved' key is set to'multiple' to indicate that more than one team will be mentioned in the answer. The 'format' key is set to ['Test'] to indicate that the query is specifically about Test matches. The'recent_type' and 'history' keys are also set to 'yes' to indicate that the query is asking for information about a recent historic event."
246,Who is the captain of the South African cricket team for the upcoming Test series against South Africa?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": ""Captain of South African cricket team"",
  ""team_involved"": ""single"",
  ""team_name"": ""South Africa"",
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""no""
}"
247,What is the highest individual score by an South Africa player in a South Africa in Australia Test Series match?,"{
  ""gender"": ""male"",
  ""department"": ""bat"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_name"": ""South Africa"",
  ""opponent_team"": ""Australia"",
  ""format"": [""Test""],
  ""highest_score"": ""null""
}"
248,Give me details of the Test series between South Africa and South Africa in 2021.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""year"": ""2021""
}"
249,What is the margin of victory for South Africa in the last South Africa in Australia Test Series final?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""match_result"": [""won""],
  ""margin_runs_start"": ""none"",
  ""margin_runs_end"": ""none"",
  ""margin_wickets_start"": ""none"",
  ""margin_wickets_end"": ""none""
}"
250,Show me the final scorecard of the tied Test match between South Africa and South Africa in 2011.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": ""Test"",
  ""innings"": [""first"", ""second""],
  ""date_start"": ""2011""
}"
251,Tell me about the leading wicket-taker in the last edition of the South Africa in Australia Test Series.,"{
  ""gender"": ""male"",
  ""department"": [""ball""],
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes"",
  ""tournament"": ""last edition of South Africa in Australia Test Series""
}"
252,What is the highest run partnership for the tenth wicket in Test matches at the Western Australia Cricket Association Ground?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""team_involved"": ""multiple"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground"",
  ""statistic"": ""highest_run_partnership"",
  ""wicket"": 10
}"
253,Who won the last Women's Test International series between South Africa and South Africa?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes""
}"
254,Give me information about the South Africa in Australia Test Series between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
255,What is the highest total ever chased down in a Women's Test International match?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""format"": [""Test""],
  ""innings"": ""second"",
  ""team_name"": ""all"",
  ""highest_total_chased"": ""null""
}"
256,Show me the result of the last South Africa in Australia Test Series match between South Africa and South Africa.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""yes"",
  ""date_start"": ""last"",
  ""match_result"": ""all""
}"
257,Tell me about the debut Test match of Aisha Mohamed and his performance in it.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""player_name"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}"
258,What is the most runs scored by an South African player in a single edition of the South Africa in Australia Test Series?,"{
  ""gender"": ""male"",
  ""department"": ""bat"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""single"",
  ""team_name"": ""South Africa"",
  ""format"": [""Test""],
  ""country"": ""Australia"",
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
259,"Who won the last Test series between South Africa and South Africa, and what was the score?","{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa""],
  ""team_name_2"": [""South Africa""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""history"": ""none"",
  ""recent_number"": 1,
  ""match_result"": [""won""]
}"
260,What is the highest team score in a Test match at the Western Australia Cricket Association Ground?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""venue"": ""Western Australia Cricket Association Ground""
}"
261,Give me details of the tied Test match between South Africa and South Africa in 1939.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""all"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""date_start"": ""1939""
}"
262,What is the margin of victory for South Africa in the last South Africa in Australia Test Series final?,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""Australia""],
  ""format"": [""Test""],
  ""match_result"": [""won""],
  ""margin_runs_start"": ""none"",
  ""margin_runs_end"": ""none"",
  ""margin_wickets_start"": ""none"",
  ""margin_wickets_end"": ""none""
}"
263,Show me the most recent Test match between South Africa and South Africa and its result.,"{
  ""gender"": ""male"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""none"",
  ""player_name"": ""none"",
  ""team_involved"": ""multiple"",
  ""team_name"": [""South Africa"", ""South Africa""],
  ""format"": [""Test""],
  ""recent_type"": ""yes"",
  ""date_start"": ""all"",
  ""date_end"": ""all"",
  ""match_result"": ""none""
}"
264,Compare the career batting averages of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""bat"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
265,"Who has a better strike rate in Tests, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
266,Give me the head-to-head statistics of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
267,What is the highest partnership for the second wicket between Aisha Mohamed and Aisha Mohamed in Test?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""team_name"": ""all"",
  ""format"": [""Test""],
  ""innings"": ""all"",
  ""partnership"": ""second""
}"
268,Compare the number of centuries scored by Aisha Mohamed and Aisha Mohamed in Test cricket.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""centuries""
}"
269,"Who has more 5-wicket hauls in Test, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""top_k"": 1,
  ""best_or_worst"": ""most""
}"
270,Show me the career runs scored by Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""multiple"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
271,What is the average score of Aisha Mohamed against Aisha Mohamed in Tests?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""yes"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": ""Aisha Mohamed"",
  ""second_player"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""statistics"": ""average_score""
}"
272,Give me the head-to-head records of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
273,Compare the strike rates of Aisha Mohamed and Aisha Mohamed in Tests.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistics"": [""strike\_rate""]
}"
274,"Who has taken more wickets in Test, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
275,Show me the career boundaries hit by Aisha Mohamed and Aisha Mohamed in Test cricket.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""multiple"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistics"": ""boundaries""
}"
276,What is the highest individual score by Aisha Mohamed against Aisha Mohamed in Test matches?,"Based on the provided query, here's the JSON object:

```json
{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": ""Aisha Mohamed"",
  ""second_player"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}
```

This JSON object represents the query by extracting the key information elements and filling in the corresponding values according to the instructions given in the schema. In this case, the query asks for the highest individual score by a specific player (Aisha Mohamed) against herself in Test matches. Therefore, the `gender` is set to `female`, `department` is set to `all` since no specific department is mentioned, `historic_event` is set to `no` since no historic event is mentioned, `players_involved` is set to `head_to_head` since the query asks for the statistics between two specific players, `player_name` is set to `Aisha Mohamed`, `second_player` is also set to `Aisha Mohamed`, and `format` is set to `Test` since the query mentions Test matches. The `innings` is set to `all` since no specific innings is mentioned."
277,Compare the number of catches taken by Aisha Mohamed and Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""catches""
}"
278,"Who has more wickets in Test, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": [""ball""],
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
279,Give me the head-to-head statistics of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
280,What is the average partnership between Aisha Mohamed and Aisha Mohamed in Tests?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
281,Compare the career bowling averages of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistics"": ""career_bowling_averages""
}"
282,"Who has more sixes in Test, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""sixes""
}"
283,Show me the runs scored by Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
284,What is the highest individual score by Aisha Mohamed against Aisha Mohamed in Tests?,"Based on the query, here's the JSON object:

```json
{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": ""Aisha Mohamed"",
  ""second_player"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}
```

This JSON object represents the query by extracting the key information elements and filling them according to the instructions provided. The query asks for the highest individual score by a specific player (Aisha Mohamed) against herself in Tests, so the ""players_involved"" key is set to ""head_to_head"" and the ""player_name"" and ""second_player"" keys are set to ""Aisha Mohamed"". The ""format"" key is set to ""Test"" since the type of the match is mentioned in the query. The ""innings"" key is set to ""all"" since no specific innings is mentioned."
285,Give me the head-to-head records of Aisha Mohamed and Aisha Mohamed in Test matches.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""recent_type"": ""no"",
  ""history"": ""yes""
}"
286,Compare the number of catches taken by Aisha Mohamed and Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""catches""
}"
287,"Who has a better economy rate in Tests, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""economy_rate""
}"
288,Show me the career wickets taken by Aisha Mohamed and Aisha Mohamed in Test cricket.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""multiple"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""statistic"": ""wickets""
}"
289,What is the average partnership between Aisha Mohamed and Aisha Mohamed in Test?,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""partnership"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
290,Give me the head-to-head statistics of Aisha Mohamed and Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""]
}"
291,Compare the number of runs scored by Aisha Mohamed and Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head\_to\_head"",
  ""player\_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""innings"": ""all""
}"
292,"Who has more centuries in Tests, Aisha Mohamed or Aisha Mohamed?","{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""century_count"": []
}"
293,Show me the career strike rates of Aisha Mohamed and Aisha Mohamed in Test.,"{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""single"",
  ""player_name"": [""Aisha Mohamed"", ""Aisha Mohamed""],
  ""format"": [""Test""],
  ""career_stats"": {
    ""strike_rate"": []
  }
}"
294,What is the highest individual score by Aisha Mohamed against Aisha Mohamed in Test matches?,"Based on the provided query, here's the JSON object:

```json
{
  ""gender"": ""female"",
  ""department"": ""all"",
  ""historic_event"": ""no"",
  ""players_involved"": ""head_to_head"",
  ""player_name"": ""Aisha Mohamed"",
  ""second_player"": ""Aisha Mohamed"",
  ""format"": [""Test""],
  ""innings"": ""all""
}
```

This JSON object represents the query by extracting the key information elements and filling in the corresponding values according to the instructions given in the schema. In this case, the query asks for the highest individual score by a specific player (Aisha Mohamed) against herself in Test matches. Therefore, the `gender` is set to `female`, `department` is set to `all` since no specific department is mentioned, `historic_event` is set to `no` since no historic event is mentioned, `players_involved` is set to `head_to_head` since the query asks for the statistics between two specific players, `player_name` is set to `Aisha Mohamed`, `second_player` is also set to `Aisha Mohamed`, and `format` is set to `Test` since the query mentions Test matches. The `innings` is set to `all` since no specific innings is mentioned."
